"UIyearXhsh10","UIyearXhsh06","UIyearXhsh04","UIyearXhsh02","UIyearXhsh00","UIyearXhsh98","UIyearXhsh95","t15nnn","in_sampled_window","code","b_ord_surv","twinYN","SexN","DOBYR","DOB3","Alive","BritStatus95","h95n","h95a","britstatus98","h98n","h98a","britstatus00","h00n","h00a","britstatus02","h02n","h02a","britstatus04","h04n","h04a","britstatus06","h06n","h06a","britstatus10","h10n","h10a","DecdateYr","COMPLED2010","Cody_c95num","cody_c98num","cody_c00num","cody_c02num","cody_c04num","cody_c06num","cody_c10num","MeT1","MeS1","FBcode","FBx","FBdob3","AFB","emumdecyrest","efadecyrest","BMHHH95","BMHHH98","BMHHH00","BMHHH02","BMHHH04","BMHHH06","BMHHH10","BFHHH95","BFHHH98","BFHHH00","BFHHH02","BFHHH04","BFHHH06","BFHHH10","acused95","ttsacks95","jjunezero95","LstockValField_rdKts95","HsVal_rdKts95","HsTotAsset_rdKts95","SumValue_rdKts95","IWC95","Loiske_rev95","acused98","ttsacks98","jjunezero98","LstockValField_rdKts98","HsVal_rdKts98","HsTotAsset_rdKts98","SumValue_rdKts98","IWC98","Loiske_rev98","acused00","ttsacks00","jjunezero00","LstockValField_rdKts00","HsVal_rdKts00","HsTotAsset_rdKts00","SumValue_rdKts00","IWC00","Loiske_rev00","acused02","ttsacks02","jjunezero02","LstockValField_rdKts02","HsVal_rdKts02","HsTotAsset_rdKts02","SumValue_rdKts02","IWC02","Loiske_rev02","acused04","ttsacks04","jjunezero04","LstockValField_rdKts04","HsVal_rdKts04","HsTotAsset_rdKts04","SumValue_rdKts04","IWC04","Loiske_rev04","acused06","ttsacks06","jjunezero06","LstockValField_rdKts06","HsVal_rdKts06","HsTotAsset_rdKts06","SumValue_rdKts06","IWC06","Loiske_rev06","acused10","ttsacks10","jjunezero10","LstockValField_rdKts10","HsVal_rdKts10","HsTotAsset_rdKts10","SumValue_rdKts10","IWC10","Loiske_rev10","sumnahxxa","delete","sumnacrop","deletecrop","sumnapcrop95","sumnapcrop98","sumnapcrop00","sumnapcrop02","sumnapcrop04","sumnapcrop06","sumnapcrop10","sumnamcrop95","sumnamcrop98","sumnamcrop00","sumnamcrop02","sumnamcrop04","sumnamcrop06","sumnamcrop10","sumnaacrop95","sumnaacrop98","sumnaacrop00","sumnaacrop02","sumnaacrop04","sumnaacrop06","sumnaacrop10","ttsacksabs","cumabs95","cumabs98","cumabs00","cumabs02","cumabs04","cumabs06","cumabs10","cumabsafb","ttsacksmean","cummean95","cummean98","cummean00","cummean02","cummean04","cummean06","cummean10","cummeanafb","ttsackssd","cumsd95","cumsd98","cumsd00","cumsd02","cumsd04","cumsd06","cumsd10","cumsdafb"
2010152,2006152,2004152,2002152,NA,NA,1995152,1924,1,15210,1,0,0,1989,1989-04-03,"a","M-PARS",152,"p","U-M",152,"a","U-REL",152,"a","M-PARS",152,"p","M-PARS",152,"p","M-PARS",152,"p","M-PARS",152,"p",NA,7,"0","0","0","0","2","4","na",NA,"u",15224,"m",2009-10-01,20.4944444444444,2008,NA,0,1,0,0,0,0,999,0,999,0,0,0,0,999,15,9,4,28.6,35.1,0,63.7,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,9,169.06,70.62,0,239.68,10,11,1,2.5,5,0,84.23,0,84.23,11,11,0,0,8,0,99.87,0,99.87,12,12,4,6.66,5,37.44,144.46,53.48,235.38,21,13,0,"no",2,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.16,9,9,9,13,15.5,15.5,22.16,15.5,4.432,9,9,9,6.5,5.16666666666667,3.875,4.432,3.875,3.51398918609605,NA,NA,NA,3.53553390593274,3.40342964277702,3.79418414594407,3.51398918609605,3.79418414594407
2010154,NA,2004270,2002270,NA,NA,NA,1988,1,27002,2,0,0,1993,1993-01-01,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-ALONE",270,"p","F-ALONE",270,"p","U-NONREL",270,"a","REL",154,"p",NA,0,"na","na","na","na","0","na","na","2009","h1",15420,"f",2009-10-01,16.75,NA,NA,999,999,999,0,0,0,0,999,999,999,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,9,0,247.17,0,247.17,12,12,2,8,5,0,294.8,34.72,329.52,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,38,4,1939.2,144.46,336.17,2419.83,22,13,3,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,5,13,13,51,13,17,NA,NA,NA,5,6.5,6.5,17,6.5,18.2482875908947,NA,NA,NA,NA,2.12132034355964,2.12132034355964,18.2482875908947,2.12132034355964
2010156,2006156,2004156,2002156,2000156,1998156,1995021,2023,1,15602,3,0,0,1977,1977-04-20,"a","M-ALONE",21,"p","HH-HH",156,"p","HH-HH",156,"p","HH-HH",156,"p","HH-HH",156,"p","HH-HH",156,"p","HH-HH",156,"p",NA,0,"na","na","na","na","na","na","na","1996","m1",15603,"m",1995-11-05,18.5416666666667,NA,1988,1,999,999,999,999,999,999,0,999,999,999,999,999,999,8,11,5,107.25,35.1,0,142.35,12,12,2,1.25,99,5.46,49.09,3.12,57.67,22,13,0,0,0,202.74,60.44,74.58,337.76,31,14,1,5.5,6,266.43,70.62,129.47,466.52,31,14,1,2,3,22.32,84.23,95.47,202.02,21,13,1,4,4,264.1,99.87,176.54,540.51,21,13,2,2.5,4,112.32,144.46,0,256.78,11,11,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,11,12.25,12.25,17.75,19.75,23.75,26.25,11,3.75,11,6.125,4.08333333333333,4.4375,3.95,3.95833333333333,3.75,11,3.66571957465379,NA,6.89429111656884,6.02252715505155,4.96812758156095,4.43846820423443,3.96993912631751,3.66571957465379,0
2010161,NA,2004161,2002161,NA,NA,1995161,2077,1,16103,2,0,0,1983,1983-03-13,"a","M-ALONE",161,"p","U-F",161,"a","U-F",161,"a","M-ALONE",161,"p","M-ALONE",161,"p","U-SPOUSE",161,"a","HH-HH",161,"p",NA,3,"0","na","na","na","na","na","na","2005","x1",16113,"u",1998-01-01,14.8,2009,NA,1,999,999,999,999,999,999,0,1,1,999,999,999,999,1,2.25,7,0,35.1,0,35.1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,9,0,247.17,53.5,300.67,21,13,1,4.5,3,16.74,294.8,68.19,379.73,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,1008,2026.52,53.48,3088,22,13,0,"no",3,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.75,2.25,2.25,2.25,8.25,12.75,12.75,16.75,2.25,4.1875,2.25,2.25,2.25,4.125,4.25,4.25,4.1875,2.25,1.54616460960662,NA,NA,NA,2.65165042944955,1.88745860881769,1.88745860881769,1.54616460960662,0
2010164,NA,NA,2002164,2000164,1998164,1995164,2144,1,16402,1,0,0,1985,1985-01-01,"a","M-ALONE",164,"p","M-ALONE",164,"p","M-ALONE",164,"p","M-ALONE",164,"p","U-SPOUSE",164,"a","U-SPOUSE",164,"a","M-ALONE",164,"p",NA,7,"4","6","na","na","na","na","na","2003","x1",16406,"m",2005-03-02,20.1694444444444,NA,1993,1,1,1,1,999,999,999,0,0,0,0,999,999,999,1,3.5,2,0,35.1,26,61.1,21,13,1,0.38,99,5.46,49.09,35.1,89.65,22,13,1,7,1,14.88,60.44,0,75.32,11,11,0.25,1,6,8.56,70.62,0,79.18,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.32,0,1032.96,505.66,401.11,1939.73,21,13,0,"no",2,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.2,3.5,3.88,10.88,11.88,11.88,11.88,19.2,11.88,3.84,3.5,1.94,3.62666666666667,2.97,2.97,2.97,3.84,2.97,3.24995384582612,NA,2.20617315730203,3.31181722523048,3.00614925333612,3.00614925333612,3.00614925333612,3.24995384582612,3.00614925333612
2010179,2006179,2004179,2002028,2000028,1998179,NA,2291,1,17904,2,0,0,1996,1996-06-06,"a",NA,NA,NA,"PARS",179,"p","F-PARS",28,"p","F-PARS",28,"p","PARS",179,"p","PARS",179,"p","PARS",179,"p",NA,666,"na","na","0","1","3","4","7",NA,"u",17909,"m",2014-01-07,17.5861111111111,NA,NA,999,1,0,0,1,1,1,999,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,99,0,824.29,109.98,934.27,31,14,12,48,0,585.9,209.23,331.88,1127.01,32,15,12,36.5,9,405.53,70.62,378.79,854.94,31,14,0,0,NA,0,84.23,0,84.23,12,12,7,66,5,0,1833.89,314.14,2148.03,32,15,3,15.87,5,0,2026.52,320.89,2347.41,21,13,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.37,0,0,48,84.5,84.5,150.5,166.37,166.37,27.7283333333333,NA,0,24,28.1666666666667,21.125,30.1,27.7283333333333,27.7283333333333,26.9478907647086,NA,NA,33.9411254969543,25.0615907981384,24.8407427425188,29.4202311343742,26.9478907647086,26.9478907647086
2010182,2006182,NA,2002182,2000182,1998182,1995016,2333,1,18202,2,0,0,1978,1978-10-28,"a","REL",16,"p","HH-HH",182,"p","HH-HH",182,"p","HH-HH",182,"p","U-M",182,"a","HH-HH",182,"p","HH-HH",182,"p",NA,7,"na","na","na","na","na","na","na","1997","m1",18203,"m",1995-05-04,16.5166666666667,NA,NA,0,999,999,999,999,999,999,0,999,999,999,999,999,999,4,7.5,5,19.5,119.6,39,178.1,31,14,4,5,99,8.19,49.09,16.38,73.66,21,13,3,13.25,2,0,60.44,0,60.44,21,13,2,7,3,160.5,247.17,135.89,543.56,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,4,0,349.57,83.41,432.98,21,13,5,22,5,403.2,505.66,0,908.86,12,12,0,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.75,7.5,12.5,25.75,32.75,32.75,44.75,66.75,7.5,11.125,7.5,6.25,8.58333333333333,8.1875,8.1875,8.95,11.125,7.5,6.18415313523202,NA,1.76776695296637,4.23034671549902,3.54362690850302,3.54362690850302,3.51069793630839,6.18415313523202,0
2010184,2006184,2004184,2002184,2000184,1998184,NA,2347,1,18405,3,0,0,1985,1985-01-01,"a",NA,NA,NA,"PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p",NA,9,"na","na","7","9","na","na","na","2007","m1",18415,"f",2005-06-03,20.4222222222222,NA,NA,999,1,1,1,999,999,999,999,1,1,1,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,99,391.95,824.29,74.88,1291.12,32,15,5,19,2,18.6,1046.14,167.58,1232.32,32,15,2,11,2,401.25,835.67,129.47,1366.39,32,15,6,37,NA,554.9,1038.03,313.72,1906.65,32,15,4,20,5,2376.9,1251.27,1071.7,4699.87,32,15,8,59,0,3878.4,2881.96,2582.34,9342.7,32,15,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,6,25,36,73,93,152,73,25.3333333333333,NA,6,12.5,12,18.25,18.6,25.3333333333333,18.25,19.5823049375365,NA,NA,9.19238815542512,6.557438524302,13.5984067694222,11.8025420990565,19.5823049375365,13.5984067694222
2010184,2006184,2004184,2002184,2000184,1998184,NA,2353,1,18408,6,0,0,1993,1993-01-01,"a",NA,NA,NA,"PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p",NA,666,"na","na","0","1","3","5","9",NA,"u",18429,"m",2013-03-03,20.1722222222222,NA,NA,999,1,1,1,1,1,1,999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,99,391.95,824.29,74.88,1291.12,32,15,5,19,2,18.6,1046.14,167.58,1232.32,32,15,2,11,2,401.25,835.67,129.47,1366.39,32,15,6,37,NA,554.9,1038.03,313.72,1906.65,32,15,4,20,5,2376.9,1251.27,1071.7,4699.87,32,15,8,59,0,3878.4,2881.96,2582.34,9342.7,32,15,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,6,25,36,73,93,152,152,25.3333333333333,NA,6,12.5,12,18.25,18.6,25.3333333333333,25.3333333333333,19.5823049375365,NA,NA,9.19238815542512,6.557438524302,13.5984067694222,11.8025420990565,19.5823049375365,19.5823049375365
2010184,2006184,2004184,2002184,2000184,1998184,NA,2348,1,18407,5,0,0,1991,1991-01-01,"a",NA,NA,NA,"PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p",NA,6,"na","na","2","4","5","na","na","2007","m1",18420,"m",2006-09-01,15.6666666666667,NA,NA,999,1,1,1,1,1,999,999,1,1,1,1,1,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,99,391.95,824.29,74.88,1291.12,32,15,5,19,2,18.6,1046.14,167.58,1232.32,32,15,2,11,2,401.25,835.67,129.47,1366.39,32,15,6,37,NA,554.9,1038.03,313.72,1906.65,32,15,4,20,5,2376.9,1251.27,1071.7,4699.87,32,15,8,59,0,3878.4,2881.96,2582.34,9342.7,32,15,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,6,25,36,73,93,152,93,25.3333333333333,NA,6,12.5,12,18.25,18.6,25.3333333333333,18.6,19.5823049375365,NA,NA,9.19238815542512,6.557438524302,13.5984067694222,11.8025420990565,19.5823049375365,11.8025420990565
2010196,2006196,2004196,2002196,2000196,1998196,1995022,2465,1,19602,4,1,0,1978,1978-02-02,"a","M-ALONE",22,"p","HH-HH",196,"p","HH-HH",196,"p","HH-HH",196,"p","HH-HH",196,"p","HH-HH",196,"p","HH-HH",196,"p",NA,7,"na","na","na","na","na","na","na","1996","h1",19603,"f",1995-11-12,17.7777777777778,2007,1994,1,999,999,999,999,999,999,0,999,999,999,999,999,999,3,8.5,5,0,35.1,0,35.1,12,12,3,7,99,10.92,824.29,71.76,906.97,31,14,3,14,0,7.44,1046.14,74.58,1128.16,32,15,4,10.5,2,0,1263.67,135.89,1399.56,31,14,2.5,15,3,421.6,1545.9,169.87,2137.37,32,15,2,23,2,1320.5,1833.89,209.88,3364.27,32,15,4,18.5,3,2160,2881.96,53.48,5095.44,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,8.5,15.5,29.5,40,55,78,96.5,8.5,13.7857142857143,8.5,7.75,9.83333333333333,10,11,13,13.7857142857143,8.5,5.67786009321252,NA,1.06066017177982,3.685557397916,3.02765035409749,3.44601218802256,5.78791845139511,5.67786009321252,0
2010198,NA,NA,NA,2000028,1998198,1995160,2475,1,19802,2,0,0,1979,1979-01-01,"a","F-ALONE",160,"p","HH-HH",198,"p","REL",28,"p","U-M",28,"a","U-M",179,"a","U-M",179,"a","HH-HH",198,"p",NA,7,"na","na","na","na","na","na","na","1997","hp1",19803,"f",1995-11-16,16.875,NA,NA,0,999,999,999,999,999,999,1,999,999,999,999,999,999,4,6,4,5.85,35.1,0,40.95,10,11,NA,0,99,0,49.09,61.62,110.71,22,13,12,48,0,585.9,209.23,331.88,1127.01,32,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,NA,0,144.46,53.48,197.94,21,13,0,"no",3,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.5,6,6,54,54,54,54,56.5,6,14.125,6,3,18,18,18,18,14.125,6,22.717009046087,NA,4.24264068711928,26.153393661244,26.153393661244,26.153393661244,26.153393661244,22.717009046087,0
2010198,NA,NA,NA,2000028,1998198,NA,2476,1,19803,1,0,0,1995,1995-11-16,"a",NA,NA,NA,"M-ALONE",198,"p","F-PARS",28,"p","U-M",28,"a","U-M",179,"a","U-M",179,"a","M-ALONE",198,"p",NA,0,"na","na","0","na","na","na","na","2013","xp1",19808,"f",2013-11-01,17.9583333333333,NA,NA,999,1,0,1,1,1,1,999,1,0,999,999,999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,99,0,49.09,61.62,110.71,22,13,12,48,0,585.9,209.23,331.88,1127.01,32,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,NA,0,144.46,53.48,197.94,21,13,1,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.5,0,0,48,48,48,48,50.5,50.5,16.8333333333333,NA,0,24,24,24,24,16.8333333333333,16.8333333333333,27.0200542807251,NA,NA,33.9411254969543,33.9411254969543,33.9411254969543,33.9411254969543,27.0200542807251,27.0200542807251
2010206,2006206,2004206,2002206,2000206,1998206,1995131,2547,1,20602,2,0,0,1977,1977-01-01,"a","PARS",131,"p","HH-HH",206,"p","HH-HH",206,"p","HH-HH",206,"p","HH-HH",206,"p","HH-HH",206,"m","HH-HH",206,"p",NA,7,"na","na","na","na","na","na","na","1996","m1",20603,"m",1995-10-18,18.7972222222222,NA,NA,1,999,999,999,999,999,999,1,999,999,999,999,999,999,1.5,15,4,0,35.1,0,35.1,10,11,4,1,99,0,169.85,13.26,183.11,31,14,4,25.25,2,26.04,209.23,71.3,306.57,31,14,4,7,4,0,247.17,22.47,269.64,21,13,4.5,36,4,0,294.8,169.87,464.67,32,15,6,50,3,1056.4,1251.27,269.66,2577.33,32,15,8,74,2,4156.8,2881.96,1390.47,8429.23,32,15,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.25,15,16,41.25,48.25,84.25,134.25,208.25,15,29.75,15,8,13.75,12.0625,16.85,22.375,29.75,15,25.7847661743648,NA,9.89949493661167,12.1732288239399,10.4967752984746,14.0441268863536,18.4646621956645,25.7847661743648,0
2010224,2006224,2004224,2002224,2000224,1998224,1995120,2705,1,22402,6,0,0,1978,1978-01-01,"a","REL",120,"p","HH-HH",224,"p","HH-HH",224,"p","HH-HH",224,"p","HH-HH",224,"p","HH-HH",224,"p","HH-HH",224,"p",NA,0,"na","na","na","na","na","na","na","1994","m1",22403,"m",1998-08-01,20.5833333333333,NA,2004,0,999,999,999,999,999,999,0,999,999,999,999,999,999,1,5,4,0,119.6,0,119.6,21,13,2,3,99,5.46,49.09,0,54.55,11,11,1,3.25,8,7.44,60.44,0,67.88,21,13,1.5,7,7,0,70.62,22.47,93.09,21,13,2,9,8,0,294.8,0,294.8,12,12,1,6.5,9,0,349.57,33.37,382.94,21,13,5,8,11,124.8,144.46,15.29,284.55,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75,5,8,11.25,18.25,27.25,33.75,41.75,8,5.96428571428571,5,4,3.75,4.5625,5.45,5.625,5.96428571428571,4,2.30230216046792,NA,1.4142135623731,1.08972473588517,1.85264450628464,2.55196003103497,2.32244483249872,2.30230216046792,1.4142135623731
2010226,2006226,2004069,NA,2000049,1998069,1995069,2725,1,6912,2,0,0,1985,1985-01-01,"a","F-PARS",69,"p","F-PARS",69,"p","F-ALONE",49,"p","U-REL",49,"a","F-ALONE",69,"p","HH-HH",226,"p","HH-HH",226,"p",NA,7,"0","5","7","na","na","na","na","2005","m1",6923,"f",2003-02-01,18.0833333333333,1997,NA,0,0,0,0,999,999,999,0,0,1,0,999,999,999,3,6,4,165.1,35.1,26,226.2,22,13,9,5.75,99,288.99,49.09,35.1,373.18,22,13,3,4.5,4,22.32,209.23,3.27,234.82,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.5,7,0,84.23,68.19,152.42,21,13,4,20.5,NA,34.75,1833.89,265.49,2134.13,32,15,4,12,4,62.4,2881.96,966.45,3910.81,31,14,0,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55.25,6,11.75,16.25,16.25,22.75,43.25,55.25,16.25,9.20833333333333,6,5.875,5.41666666666667,5.41666666666667,5.6875,8.65,9.20833333333333,5.41666666666667,6.1164055348437,NA,0.176776695296637,0.80363756341608,0.80363756341608,0.850857410694256,6.66520817379322,6.1164055348437,0.80363756341608
2010234,2006234,2004234,2002234,2000234,1998069,1995069,2781,1,23402,7,0,0,1977,1977-04-02,"a","PARS",69,"p","PARS",69,"p","HH-HH",234,"p","HH-HH",234,"p","HH-HH",234,"p","HH-HH",234,"p","HH-HH",234,"p",NA,7,"na","na","na","na","na","na","na","2000","m1",6910,"f",1995-05-16,18.1222222222222,NA,2007,1,999,999,999,999,999,999,1,999,999,999,999,999,999,3,6,4,165.1,35.1,26,226.2,22,13,9,5.75,99,288.99,49.09,35.1,373.18,22,13,2.5,5.25,NA,3.72,209.23,15.7,228.65,32,15,2.5,9,4,0,247.17,22.47,269.64,22,13,2,10.66,6,22.32,294.8,34.72,351.84,21,13,4,12.8,5,264.1,349.57,116.78,730.45,21,13,3,9.67,4,3716.16,505.66,320.89,4542.71,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.13,6,11.75,17,26,36.66,49.46,59.13,6,8.44714285714286,6,5.875,5.66666666666667,6.5,7.332,8.24333333333333,8.44714285714286,6,2.86152473508859,NA,0.176776695296637,0.381881307912987,1.69558249578132,2.37009915404398,3.07848447562541,2.86152473508859,0
2010237,2006237,2004237,2002237,2000237,1998151,1995151,2791,1,23702,3,1,0,1976,1976-01-01,"a","REL",151,"p","REL",151,"p","HH-HH",237,"p","HH-HH",237,"p","HH-HH",237,"p","HH-HH",237,"p","HH-HH",237,"p",NA,0,"na","na","na","na","na","na","na","1995","m1",15113,"m",1998-07-27,22.5722222222222,1976,2013,999,999,999,999,999,999,999,999,999,999,999,999,999,999,3,7.5,5,13.65,35.1,0,48.75,12,12,3,1.13,99,16.38,49.09,0,65.47,11,11,2,3.5,1,0,60.44,0,60.44,11,11,1.5,6,6,0,247.17,0,247.17,10,11,2.5,20,5,11.16,84.23,34.72,130.11,21,13,2,0,8,0,99.87,0,99.87,11,11,1,4.49,5,1864.32,505.66,320.89,2690.87,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.62,7.5,8.63,12.13,18.13,38.13,38.13,42.62,8.63,6.08857142857143,7.5,4.315,4.04333333333333,4.5325,7.626,6.355,6.08857142857143,4.315,6.66385881345893,NA,4.50427019615831,3.21957036471224,2.80491681397744,7.33139686553661,7.25893587242648,6.66385881345893,4.50427019615831
2010238,2006300,2004300,2002238,2000238,1998034,1995034,2810,1,11429,3,0,0,1983,1983-01-01,"a","F-PARS",34,"p","F-PARS",34,"p","REL",238,"p","REL",238,"p","HH-HH",300,"p","HH-HH",300,"p","REL",238,"p",NA,7,"5","7","na","na","na","na","na","2001","m1",23803,"m",1999-06-01,16.4166666666667,NA,NA,0,0,0,999,999,999,999,0,0,0,999,999,999,999,5,1.5,4,0,35.1,26,61.1,22,13,1.5,3.13,99,2.73,49.09,35.1,86.92,22,13,2,4.75,NA,18.6,209.23,3.27,231.1,31,14,2,14,7,0,247.17,0,247.17,12,12,0.5,1,NA,0,294.8,0,294.8,11,11,2,3.2,9,0,99.87,43.09,142.96,21,13,2,7,6,0,2881.96,320.89,3202.85,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.58,1.5,4.63,9.38,23.38,24.38,27.58,34.58,4.63,4.94,1.5,2.315,3.12666666666667,5.845,4.876,4.59666666666667,4.94,2.315,4.47258687264242,NA,1.15258405333407,1.62500256410054,5.59622789624106,5.30877857892001,4.79736038532302,4.47258687264242,1.15258405333407
2010245,2006245,2004245,2002245,2000245,1998004,1995004,2877,1,24502,1,0,0,1981,1981-12-12,"a","PARS",4,"p","PARS",4,"p","HH-HH",245,"p","HH-HH",245,"p","HH-HH",245,"p","HH-HH",245,"p","HH-HH",245,"p",NA,7,"5","na","na","na","na","na","na","1999","m1",24503,"m",1999-03-30,17.3,NA,NA,1,1,999,999,999,999,999,1,1,999,999,999,999,999,2.5,9,3,7.8,119.6,0,127.4,21,13,2.5,1.5,99,48.75,169.85,0,218.6,21,13,1,1.25,NA,0,60.44,0,60.44,22,13,2,8,4,64.2,1263.67,129.47,1457.34,32,15,3,7,8,0,294.8,177.32,472.12,31,14,3,20.6,5,0,349.57,209.88,559.45,31,14,0,0,5,428.16,505.66,320.89,1254.71,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.35,9,10.5,11.75,19.75,26.75,47.35,47.35,10.5,6.76428571428571,9,5.25,3.91666666666667,4.9375,5.35,7.89166666666667,6.76428571428571,5.25,7.09323117989457,NA,5.30330085889911,4.40407008724127,4.13508867297103,3.69797241742012,7.04985224431453,7.09323117989457,5.30330085889911
2010248,2006248,2004248,2002248,2000248,NA,NA,2925,1,24807,2,0,0,1996,1996-08-01,"a",NA,NA,NA,NA,NA,NA,"PARS",248,"p","PARS",248,"p","PARS",248,"p","PARS",248,"p","M-ALONE",248,"p",NA,3,"na","na","0","0","1","2","na","2010","xp1",24822,"f",2013-06-01,16.8333333333333,NA,NA,999,999,1,1,1,1,1,999,999,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,7.44,60.44,0,67.88,10,11,2.5,18,2,0,70.62,135.89,206.51,31,14,1.5,9.5,5,0,294.8,177.32,472.12,32,15,3,23,8,139,349.57,209.88,698.45,31,14,4,11.5,6,931.2,505.66,320.89,1757.75,22,13,2,"no",2,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,1,19,28.5,51.5,63,63,12.6,NA,NA,1,9.5,9.5,12.875,12.6,12.6,8.40684245124173,NA,NA,NA,12.0208152801713,8.5,9.68138247703636,8.40684245124173,8.40684245124173
